Date,Close/Last,Volume,Open,High,Low
03/10/2025,$76.38,136843800,$82.00,$82.6899,$74.57
03/07/2025,$84.91,105377100,$80.025,$85.16,$79.15
03/06/2025,$80.46,117340600,$87.505,$88.34,$80.01
03/05/2025,$90.13,116053000,$86.35,$90.30,$82.50
03/04/2025,$84.40,116800300,$80.16,$88.50,$79.30
03/03/2025,$83.42,114573900,$88.55,$90.4796,$82.53
02/28/2025,$84.92,125977400,$79.98,$85.18,$78.58
02/27/2025,$84.77,99680480,$91.91,$93.62,$84.17
02/26/2025,$89.31,94846190,$89.16,$91.69,$87.59
02/25/2025,$87.84,132626300,$90.65,$91.70,$85.25
02/24/2025,$90.68,184485000,$95.88,$99.01,$89.30
02/21/2025,$101.35,129063200,$107.68,$109.07,$100.00
02/20/2025,$106.27,243093900,$102.91,$107.40,$95.80
02/19/2025,$112.06,147487300,$123.86,$125.41,$108.56
02/18/2025,$124.62,84227160,$120.94,$125.00,$118.43
02/14/2025,$119.16,65528860,$117.90,$120.67,$116.80
02/13/2025,$117.91,60026970,$117.31,$118.39,$115.1501
02/12/2025,$117.39,75316880,$110.29,$117.59,$110.00
02/11/2025,$112.62,94311710,$116.50,$118.66,$112.10
02/10/2025,$116.65,99938070,$112.03,$116.76,$108.72
02/07/2025,$110.85,143795400,$111.66,$116.30,$110.45
02/06/2025,$111.28,128217500,$101.09,$111.545,$100.26
02/05/2025,$101.36,90792350,$101.78,$103.57,$99.32
02/04/2025,$103.83,230806800,$102.80,$106.91,$100.51
02/03/2025,$83.74,126592700,$80.125,$84.25,$78.47
01/31/2025,$82.49,79000220,$81.00,$85.22,$80.87
01/30/2025,$81.22,46067530,$80.02,$81.8299,$79.38
01/29/2025,$79.76,49262160,$79.95,$80.8199,$77.81
01/28/2025,$80.23,65916660,$75.54,$80.74,$74.04
01/27/2025,$75.44,76093330,$74.07,$76.72,$72.67
01/24/2025,$78.98,77931910,$79.05,$82.24,$78.4401
01/23/2025,$78.98,55937900,$76.04,$79.00,$75.84
01/22/2025,$76.87,66876370,$74.50,$77.16,$73.80
01/21/2025,$73.07,56228970,$73.24,$73.6363,$70.6007
01/17/2025,$71.77,54753980,$70.90,$72.34,$69.95
01/16/2025,$69.24,62908660,$69.08,$71.43,$68.36
01/15/2025,$68.14,56025750,$68.55,$68.85,$67.08
01/14/2025,$65.91,56814900,$67.18,$68.23,$65.19
01/13/2025,$64.98,69046330,$64.29,$65.68,$63.40
01/10/2025,$67.26,78148640,$66.01,$68.20,$65.04
01/08/2025,$68.23,91349510,$68.12,$69.53,$66.51
01/07/2025,$69.99,91727350,$75.20,$75.39,$69.75
01/06/2025,$75.92,105619500,$78.69,$80.06,$74.61
01/03/2025,$79.89,62415010,$75.39,$79.98,$75.19
01/02/2025,$75.19,72217190,$76.20,$76.53,$72.42
12/31/2024,$75.63,56267940,$77.58,$77.9796,$73.65
12/30/2024,$77.18,60850860,$77.04,$79.24,$76.11
12/27/2024,$79.08,66975890,$81.42,$82.00,$77.93
12/26/2024,$82.14,60547750,$83.16,$83.49,$81.30
12/24/2024,$82.38,64983260,$81.09,$84.7968,$81.00
12/23/2024,$80.69,93819480,$80.65,$82.02,$77.41
12/20/2024,$80.55,281230800,$72.64,$80.66,$71.50
12/19/2024,$74.21,99524330,$73.99,$76.59,$73.37
12/18/2024,$71.51,109643400,$74.30,$77.60,$70.27
12/17/2024,$74.39,75469390,$73.28,$75.32,$71.70
12/16/2024,$75.75,126099600,$75.06,$77.82,$71.16
12/13/2024,$76.07,76172790,$73.49,$76.10,$72.45
12/12/2024,$73.20,73859670,$72.30,$75.38,$71.90
12/11/2024,$72.51,89477660,$72.98,$73.00,$68.07
12/10/2024,$70.89,89672470,$71.99,$75.56,$70.73
12/09/2024,$72.46,168134800,$80.58,$80.91,$71.05
12/06/2024,$76.34,93640900,$72.95,$76.82,$72.28
12/05/2024,$71.87,66585760,$70.11,$72.98,$69.89
12/04/2024,$69.85,86284800,$71.13,$71.18,$67.28
12/03/2024,$70.96,100751400,$66.41,$71.37,$66.15
12/02/2024,$66.39,46404970,$67.44,$67.88,$65.96
11/29/2024,$67.08,30104050,$65.89,$67.16,$65.47
11/27/2024,$66.05,53839900,$66.24,$67.56,$64.24
11/26/2024,$65.74,46923570,$64.57,$65.85,$63.89
11/25/2024,$64.65,80640470,$66.90,$67.88,$64.08
11/22/2024,$64.35,61381710,$61.60,$64.44,$61.37
11/21/2024,$61.36,56336740,$62.04,$63.40,$60.895
11/20/2024,$62.12,59182180,$62.59,$63.08,$59.96
11/19/2024,$62.98,75557820,$59.51,$63.01,$59.265
11/18/2024,$61.26,137877600,$64.92,$64.92,$58.85
11/15/2024,$65.77,155280400,$61.01,$66.00,$60.91
11/14/2024,$59.18,59968240,$61.05,$61.17,$58.53
11/13/2024,$60.70,85937360,$61.52,$63.39,$59.85
11/12/2024,$59.85,59061340,$59.01,$60.09,$58.57
11/11/2024,$60.24,108357800,$60.133,$62.08,$58.69
11/08/2024,$58.39,84124030,$55.57,$58.48,$55.30
11/07/2024,$55.88,121591200,$55.82,$56.47,$53.55
11/06/2024,$55.53,114255900,$53.44,$55.69,$51.61
11/05/2024,$51.13,208868200,$47.86,$51.575,$46.86
11/04/2024,$41.41,75413300,$41.08,$42.04,$41.0315
11/01/2024,$41.92,33722520,$41.93,$42.57,$41.59
10/31/2024,$41.56,50973360,$42.79,$43.32,$40.90
10/30/2024,$43.69,31309230,$44.58,$44.80,$43.61
10/29/2024,$44.93,26154710,$44.90,$45.07,$44.04
10/28/2024,$44.97,36729700,$45.05,$45.14,$44.68
10/25/2024,$44.86,50416490,$43.85,$45.07,$43.645
10/24/2024,$43.56,34079560,$42.89,$43.73,$42.66
10/23/2024,$42.59,35646980,$42.85,$43.68,$42.055
10/22/2024,$42.94,27830730,$42.69,$43.49,$42.30
10/21/2024,$42.70,30719780,$42.86,$43.40,$42.41
10/18/2024,$42.97,33969020,$42.015,$42.99,$41.65
10/17/2024,$42.00,34028410,$42.15,$42.70,$41.61
10/16/2024,$41.93,59157940,$42.40,$42.49,$40.36
10/15/2024,$42.43,48296970,$43.475,$43.68,$41.515
10/14/2024,$43.40,41010910,$43.72,$44.39,$43.28
10/11/2024,$43.51,66206890,$43.40,$44.38,$42.62
10/10/2024,$43.52,62516310,$42.92,$43.8784,$42.4101
10/09/2024,$43.13,86404700,$41.55,$43.34,$41.21
10/08/2024,$41.45,62542950,$39.29,$41.49,$39.015
10/07/2024,$38.89,44124770,$39.90,$40.15,$38.775
10/04/2024,$40.01,62657550,$39.65,$40.29,$39.40
10/03/2024,$39.24,57196450,$37.45,$39.29,$37.37
10/02/2024,$37.49,34988910,$36.30,$37.68,$36.145
10/01/2024,$36.46,52858040,$37.21,$37.56,$36.05
09/30/2024,$37.20,42223550,$36.58,$37.32,$36.15
09/27/2024,$36.84,43219120,$36.91,$37.47,$36.59
09/26/2024,$37.10,48601990,$37.26,$37.44,$36.60
09/25/2024,$37.12,46511720,$36.89,$37.18,$36.3827
09/24/2024,$36.90,79519250,$37.97,$37.98,$36.43
09/23/2024,$37.95,79460740,$36.86,$38.19,$36.57
09/20/2024,$37.20,450290500,$36.01,$37.29,$35.71
09/19/2024,$36.83,59882040,$37.00,$37.35,$36.20
09/18/2024,$36.38,66279770,$35.90,$37.11,$35.8712
09/17/2024,$36.45,64461750,$37.00,$37.05,$35.87
09/16/2024,$36.31,74767330,$35.78,$36.92,$35.56
09/13/2024,$35.59,49727170,$34.97,$36.01,$34.89
09/12/2024,$34.91,54391840,$34.86,$35.40,$34.5308
09/11/2024,$34.85,68302250,$34.01,$34.87,$33.62
